nom,SIREN,type,code_departement,code_region
CA de la Rochelle,241700434,CA,17,75
CA de Lamballe Terre et Mer,200069391,CA,22,53
CA de Lens - Liévin,246200364,CA,62,32
CA de Longwy,245400262,CA,54,44
CA de Nevers,245804406,CA,58,27
CA de Nîmes Métropole,243000643,CA,30,76
CA de Saint-Dié-des-Vosges,200071066,CA,"54,88",44
CA de Saint-Dizier Der et Blaise,200068666,CA,"51,52",44
CA de Saint-Quentin-en-Yvelines,200058782,CA,78,11
CA de Saintes,200036473,CA,17,75
CA de Sophia Antipolis,240600585,CA,06,93
CA de Vesoul,247000011,CA,70,27
CA Dembeni-Mamoudzou,200060457,CA,976,06
CA des Deux Baies en Montreuillois,200069029,CA,62,32
CA Dinan Agglomération,200068989,CA,22,53
CA Douaisis Agglo,200044618,CA,59,32
CA Dracénie Provence Verdon Agglomération,248300493,CA,83,93
CA du Bassin d'Arcachon Nord,243301504,CA,33,75
CA du Bassin d'Aurillac,241500230,CA,15,84
CA du Bassin de Bourg-en-Bresse,200071751,CA,01,84
CA du Bassin de Brive,200043172,CA,19,75
CA du Beauvaisis,200067999,CA,60,32
CA du Bocage Bressuirais,200040244,CA,79,75
CA du Boulonnais,246200729,CA,62,32
CA du Caudrésis et du Catésis,200030633,CA,59,32
CA du Centre de la Martinique,249720061,CA,972,02
CA du Centre Littoral,249730045,CA,973,03
CA du Choletais,200071678,CA,49,52
CA du Cotentin,200067205,CA,50,28
CA du Gard Rhodanien,200034692,CA,30,76
CA du Grand Angoulême,200071827,CA,16,75
CA du Grand Annecy,200066793,CA,74,84
CA du Grand Avignon (COGA),248400251,CA,"30,84","76,93"
CA du Grand Cahors,200023737,CA,46,76
CA du Grand Chambéry,200069110,CA,73,84
CA du Grand Cognac,200070514,CA,16,75
CA du Grand Dax,244000675,CA,40,75
CA du Grand Dole,200010650,CA,39,27
CA du Grand Guéret,200034825,CA,23,75
CA du Grand Nord de Mayotte,200060465,CA,976,06
CA du Grand Sénonais,248900334,CA,89,27
CA du Grand Verdun,200049187,CA,55,44
CA du Grand Villeneuvois,200023307,CA,47,75
CA du Libournais,200070092,CA,33,75
CA du Niortais,200041317,CA,79,75
CA du Nord Basse-Terre,249710062,CA,971,01
CA du Nord Grande Terre,200044691,CA,971,01
CA du Pays Ajaccien,242010056,CA,2A,94
CA du Pays Basque,200067106,CA,64,75
CA du Pays de Dreux,200040277,CA,"27,28","24,28"
CA du Pays de Fontainebleau,200072346,CA,77,11
CA du Pays de Gex,240100750,CA,01,84
CA du Pays de Grasse,200039857,CA,06,93
CA du Pays de l'Or,243400470,CA,34,76
CA du Pays de Laon,200043495,CA,02,32
CA du Pays de Meaux,200072130,CA,77,11
CA du Pays de Saint Malo Agglomération,243500782,CA,35,53
CA du Pays de Saint-Omer,200069037,CA,62,32
CA du Pays Nord Martinique,200041788,CA,972,02
CA du Pays Voironnais,243800984,CA,38,84
CA du Puy-en-Velay,200073419,CA,43,84
CA du Saint-Quentinois,200071892,CA,02,32
CA du Sicoval,243100633,CA,31,76
CA du Sud,249740085,CA,974,04
CA du Val de Fensch,245701222,CA,57,44
CA Durance-Lubéron-Verdon Agglomération,200034700,CA,"04,83",93
CA ECLA  (Espace Communautaire Lons Agglomération),200071116,CA,39,27
"CA Épernay,Coteaux et Plaine de Champagne",200067684,CA,51,44
CA Étampois Sud-Essonne,200017846,CA,91,11
CA Evreux Portes de Normandie,200071454,CA,27,28
CA Fécamp Caux Littoral Agglomération,200069821,CA,76,28
CA Flers Agglo,200035814,CA,61,28
CA Fougères Agglomération,200072452,CA,35,53
CA Gaillac-Graulhet,200066124,CA,81,76
CA Gap-Tallard-Durance,200067825,CA,"04,05",93
CA Golfe du Morbihan - Vannes Agglomération,200067932,CA,56,53
CA Grand Auch Cœur de Gascogne,200066926,CA,32,76
CA Grand Belfort,200069052,CA,90,27
CA Grand Calais Terres et Mers,200090751,CA,62,32
CA Grand Châtellerault,248600413,CA,86,75
CA Grand Lac,200068674,CA,73,84
CA Grand Montauban,248200099,CA,82,76
CA Grand Paris Sud Seine Essonne Sénart,200059228,CA,"77,91",11
CA Grand Sud Caraïbe,249710070,CA,971,01
CA GrandSoissons Agglomération,240200477,CA,02,32
CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,200067981,CA,22,53
CA Haut - Bugey Agglomération,200042935,CA,01,84
CA Hérault-Méditerranée,243400819,CA,34,76
CA Intercommunale de la Réunion Est (CIREST),249740093,CA,974,04
CA Intercommunale du Nord de la Réunion (CINOR),249740119,CA,974,04
CA La Riviera du Levant,200041507,CA,971,01
CA La Roche-sur-Yon Agglomération,248500589,CA,85,52
CA Lannion-Trégor Communauté,200065928,CA,22,53
CA Laval Agglomération,200083392,CA,53,52
CA Le Grand Chalon,247100589,CA,71,27
